QQ,Info
281,去 Andrew   ng   视频 新人 请 多多关照 张宇 一起 考研 推免 去 网速 原因 刚刚 在线 阅读 截个 图 看看 Latex   写 完 复制 进来 这是 代码 看到 一年 足够 发 调查 问卷 哈哈哈 天天 回放 求助 有人 GitHub 开源 库是 用来 做 人体 行为 识别 O ∩ ∩ O 谢谢 额 ° ° 线性代数 刚刚 抢 课程 码 输进去 参数 错误 http love chinahadoop cn 感觉 spark 根本 没有 20 盯 进去 15k 大家 考研 去 邹 老师 其实 喜欢 讲课 其实 很多 中科院 实习 保研 留下来 有点 逆 序数 scala 请问 推荐 里面 i2i c2i c2c 指
41,推荐 周志华 机器 学习 nice 淡定 666 链接 666 这是 情况 没进 错 谢谢 看不懂 大家 聊天 摊手
13,李航 统计 学习 方法 https www douban com doulist 3440234 好像 台大 机器 学习 不错 样子 想 买 一本 数学 实用手册 无奈 推免 狗 数学 渣 斜眼 笑 好好学 东西 写 论文 毕业 过日子 目标 毕业 导出来 pdf 好看 直接 md 咯 会 玩 权限 不够 管理员 模式 安装
397,最 简单 入门 科普 推荐 图解 机器 学习 一定 python 编程 基础   熟悉 numpy   pandas 等库 机器 学习 实战 搞定 听 邹 老师 课程 配合 李航 统计 学习 方法 本书 课程内容 贴切 以后   机器 学习 统计 学习 深度 学习   风口 会 后 深度 学习 时代 hition 弟子 会 大作 现在 今日 头条 国内 人工智能 应用 落地 方面 不错 hinton 一宝 rbm   用于 协同 过滤 托 腮 看待 周志华 2016ccf 大会 深度 学习 冬天 看法 感觉 解释性 不尽人意   实践 却 比较 好 成效 硬件 层面 通用 cpu 架构 高度 并行 话 全面 众核 架构 会 不会 进一步 突破 其实 超算 现在 逐步 大规模 众核 架构 转型 太湖 之光 申威 算是 典型 应用 周志华 强调 深度 学习 没有 达到 深度 理解 所说 强调 鲁棒性 迁移 学习 会 形态 觉得 或许 并非 所有 东西 能够 数学 理论 完美 解释 数学 本身 边界 哥德尔 完备 定理 一定 程度 解释 数学 并非 完美 缺乏 系统性 理论指导 确实 不易 接受 赞同   深度 学习 无法 更进一步   会 回到 现在 统计 学习 老路子 上来   亦 会 全新 理论体系 程序 单纯 学习 层面 过渡 具有 一定 理解能力 层面 本书
133,听课 QQ 里 好 谢谢 骰子 问题 均值 时 没有 问题 均值 修改 时 出现 问题 太有 魔性 程序代码 抄 教案 如下 图 邹 老师 能否 代码 发 抄写 错误 大致 学习 步长 太 大 迭代 次数 不足 估计 sklearn 版本 问题 命令行     import   sklearn   from   sklearn   import   proprocessing 理解 错误 提示   sklearn 中 没有 proprocessing   系统 没法 加载 11 讲 老师 讲过 几种 方法 去 听 明天 课件 仍 没有 发 加个 条件 甲乙 射中 概率 答案 会 不变
121,零 基础 听 课 行不行 激动 报了名 现在 才 想起 基础 事来 新人 大家 关照
291,问题 公开课 前两天 刚刚   看到 证明   矩阵 乘法 中科院 二手 cpu 好 看运气 管理层 不行 说开 开 国内 做 太 肤浅 说白了   做 肤浅   随便 找 个人 代替     干嘛 不要 年轻人 按时 不可 替换 下载 好 anaconda 安装程序 Anaconda2 4.3 0.1 Windows x86 64 exe 上传 一份 找到 找 一遍 第一 时间 去 找 群 文件 没有 恩恩额 奥 好 离线 下载   maxon   epos 语言 实现 奥     实现 去 看看 这次 课 没有 跟上 上班 太忙 跟不上 算法   直接 源码   难看 懂 老师 天天 听   以色列 课 教给 学生 英语 why 老板 样子 大牛 经常 视频 百度 老板 更差 高硕 高手 赚 死 工资 下载 好 百度网 盘 需要 链接 http pan baidu com 1slW6hDr   密码 iwco 91 年 老家伙   已经 老 谈何容易 做 出来 东西   卖 老外 做 产品 小东西   冷门 行业 肯定 肯定 愿意 做 费力 讨好 行业 反正 了解 冷门 行业   技术难度 大   国外 做     小 众 行业 养家糊口   没有 问题 技术难度 大 国内 很多 人想 进去 进不去 反正 慢慢来 慢慢来 现在 东西   设计 抄 带 写 搞 电机 伺服系统 打算 机器 学习   挖掘   里面 算法 去 看看 强化 学习 已经 赚够 之前   基因 剪切     闹剧 好 刚刚   答对 几道
199,问题 前面 几节课 补 基础 同学 缓存 视频 导出来 好滴
347,群里 熟悉 flask 问题 请教 告诉 python 书 高等数学 尤其 线性代数 微积分 矩阵 行列式 赶紧 拿出 考研 勇气 绝对 突飞猛进 做题 愿意 做 行 几年 刚火 广告 福利 99 元 公道 价格 灰太狼 卧底 灰太狼 老师 讲 学会 学 不会 怪 老师 建议 以后 报名 设置 门槛 大专 以上学历 相关 专业 看看 这货 水平 高
351,基础 忧桑 老师 不能 提前 看点 书 好 python 书 还好 高等数学 矩阵 早就 记得 线性代数 讲 有没有 推荐 书 学了 多年 数据 当年 学 矩阵 微积分 干 原来 没找 行业 数学 有没有 推荐 书 哈哈哈 广告 满分 发个 链接 99 元 安装 环境 python 分享 大家 互相学习 应该 不会 分享 链接 有点 其实 不好意思 问 怕 太 弱智 只能 翻 资料 查
375,那要 做题 讲得 好 老师 老师 出来 好久不见 发言 现在 一天 听 邹 老师 课 习惯 没有 新 反复 听旧 浑身 难受 现在 上班 时 整理 邹 老师 笔记 下班 后 反复 听 以前 课 深度 学习 不好 搞 大部分 电脑 做 实验 跑 起来 觉得 班 没多 大用处 做成 产品 scala python 不是 产业 级别 语言 语言   小孩子 模拟 模拟 真正 scala python 玩 非常 精通   当成 产业 级 语言 做 产品   国外 两家 公司 中国 可能 课程 语言 改成 Java 兴许 真正 做 开发 应用 级别 产品 去 python 评价 这句 话 无言以对 随机 梯度 下降 算法 里 xj 迭代 几次 意思 为啥 特征 维度 求导 梯度 梯度 不是 几个 维度 一起 求导 求 向量 不是 一起 求 问 谢谢 请问 大家 邹 老师上课 时 PPT 随意 输入 推导 过程 工具 谢谢 导出 请问 lasso score 意思 R 方 lr     Pipeline sc   StandardScaler                                                 clf   LogisticRegression   sc clf 用户 随便 名字 往期 分别 代表 往期 留级生 跟上 之前 课 会 ConvergenceWarning   Objective   did   not   converge   You   might   want   to   increase   the   number   of   iterations   Fitting   data   with   very   small   alpha   may   cause   precision   problems     ConvergenceWarning 咋整 没有 收敛 同问 图 下面 部分 好 需要 直接 这种 地方 视频 不能 只能 课件 代码 目前 多付 % 才 西瓜 书 yearning 意思 代码 clf     svm SVC C 0.8   kernel rbf   gamma 20   decision function shape ovr 里 decision function shape 意思 打扰 大家 请问 相对 熵 哪节 课上 讲 急 枚举 猜 请问 抢 面试 算法 抢 求 页面 请问 MultinomialNB GaussianNB 区别
324,当年 数学课 全逃 分别 对应 python2 python3 建议 python2 至少 讲课 版本 前 几课 需要 需要 装 下载 觉得 第二行 想 表达   for     in   range len list1
234,广告 好 商汤 很腻害 拉加 后面 课程 会 越来越 简单 真的 老师 工作人员 过节 有人 买过 课程 新 课程 添加 之前 账号 下面 中午 试 输在 优惠 码 成功 蟹 蟹 国内 培训 机器 学习 比较 大型 貌似 几家 醉 意见 找 客服 平台 反馈 群里 不是 渲染 气氛 很多 学员 高级 anaconda   安装 hashlib 无论是 pip easy install 出现 这种 状态 为啥 路径 怪怪的 感觉 已经 下载 压缩包 看看 问 是不是 路径 问题 模型 打包 上线 是不是 写 好 定时 调用 脚本 模型 代码 一起 问 Python 并行计算 使用 DPark 大神 有人 ubuntu 上面 安装 rstudio python 已经 安装 好 R 差 Rstudio 闪退 安卓
222,老 学员 群   全部都是 老 点点 进去 抢 完 现在 剩 MIT 课 推荐 dd 法子 应该 行 弄个 conflict 出来
48,所谓 老 学员 三期 高等数学 十八 讲 斜眼 笑 无奈 大手子 小 纠结 邹 老师 深度 学习 本科 毕业论文 写 贝叶斯 答辩 老师 非问 分词 实现 摊手 小 象 网站 看书 不是 计算 最大 熵 模型 那节 抢 面试 算法 托 像是 阴阳怪气 数学 专业 觉得 数学 nb
381,新人 请 多多关照
357,新人 请 多多关照
