uid,n_null,discret_null
20580,57,2
20581,53,2
20582,64,2
20583,50,2
20584,40,2
20585,48,2
20586,359,5
20587,38,2
20588,61,2
20589,69,2
20590,291,5
20591,46,2
20592,182,4
20593,49,2
20594,27,1
20595,69,2
20596,41,2
20597,49,2
20598,58,2
20599,54,2
20600,53,2
20601,46,2
20602,59,2
20603,53,2
20604,41,2
20605,1022,5
20606,47,2
20607,70,3
20608,64,2
20609,38,2
20610,124,3
20611,65,2
20612,172,4
20613,66,2
20614,53,2
20615,40,2
20616,48,2
20617,51,2
20618,44,2
20619,57,2
20620,158,4
20621,45,2
20622,51,2
20623,65,2
20624,814,5
20625,44,2
20626,50,2
20627,48,2
20628,50,2
20629,35,2
20630,57,2
20631,55,2
20632,55,2
20633,42,2
20634,21,1
20635,47,2
20636,40,2
20637,27,1
20638,61,2
20639,1013,5
20640,183,4
20641,175,4
20642,67,2
20643,65,2
20644,73,3
20645,40,2
20646,51,2
20647,63,2
20648,51,2
20649,42,2
20650,1036,5
20651,1023,5
20652,54,2
20653,180,4
20654,78,3
20655,49,2
20656,49,2
20657,39,2
20658,29,1
20659,63,2
20660,828,5
20661,47,2
20662,55,2
20663,48,2
20664,161,4
20665,35,2
20666,65,2
20667,1025,5
20668,42,2
20669,41,2
20670,1023,5
20671,56,2
20672,36,2
20673,55,2
20674,60,2
20675,134,3
20676,32,1
20677,45,2
20678,47,2
20679,54,2
20680,37,2
20681,159,4
20682,47,2
20683,139,3
20684,57,2
20685,68,2
20686,42,2
20687,158,4
20688,63,2
20689,45,2
20690,52,2
20691,68,2
20692,35,2
20693,48,2
20694,711,5
20695,40,2
20696,70,3
20697,68,2
20698,41,2
20699,32,1
20700,56,2
20701,56,2
20702,52,2
20703,62,2
20704,40,2
20705,51,2
20706,25,1
20707,63,2
20708,169,4
20709,176,4
20710,47,2
20711,67,2
20712,52,2
20713,31,1
20714,16,1
20715,58,2
20716,36,2
20717,113,3
20718,44,2
20719,166,4
20720,50,2
20721,173,4
20722,52,2
20723,45,2
20724,182,4
20725,54,2
20726,66,2
20727,55,2
20728,226,5
20729,130,3
20730,30,1
20731,41,2
20732,58,2
20733,69,2
20734,47,2
20735,47,2
20736,52,2
20737,165,4
20738,54,2
20739,1030,5
20740,56,2
20741,67,2
20742,46,2
20743,58,2
20744,45,2
20745,51,2
20746,171,4
20747,49,2
20748,40,2
20749,238,5
20750,65,2
20751,55,2
20752,51,2
20753,58,2
20754,58,2
20755,187,4
20756,159,4
20757,34,2
20758,50,2
20759,58,2
20760,59,2
20761,33,2
20762,47,2
20763,89,3
20764,42,2
20765,156,4
20766,29,1
20767,51,2
20768,173,4
20769,55,2
20770,36,2
20771,44,2
20772,57,2
20773,56,2
20774,63,2
20775,33,2
20776,45,2
20777,48,2
20778,1063,5
20779,1016,5
20780,53,2
20781,158,4
20782,44,2
20783,62,2
20784,64,2
20785,44,2
20786,44,2
20787,62,2
20788,64,2
20789,48,2
20790,76,3
20791,47,2
20792,60,2
20793,43,2
20794,44,2
20795,178,4
20796,177,4
20797,67,2
20798,175,4
20799,35,2
20800,64,2
20801,162,4
20802,37,2
20803,41,2
20804,58,2
20805,63,2
20806,45,2
20807,64,2
20808,74,3
20809,174,4
20810,53,2
20811,63,2
20812,71,3
20813,64,2
20814,32,1
20815,55,2
20816,182,4
20817,169,4
20818,55,2
20819,48,2
20820,52,2
20821,152,4
20822,65,2
20823,54,2
20824,37,2
20825,47,2
20826,200,5
20827,167,4
20828,76,3
20829,65,2
20830,64,2
20831,49,2
20832,36,2
20833,44,2
20834,35,2
20835,167,4
20836,72,3
20837,40,2
20838,173,4
20839,36,2
20840,35,2
20841,42,2
20842,32,1
20843,42,2
20844,48,2
20845,49,2
20846,37,2
20847,45,2
20848,35,2
20849,64,2
20850,166,4
20851,56,2
20852,64,2
20853,184,4
20854,64,2
20855,48,2
20856,69,2
20857,65,2
20858,44,2
20859,47,2
20860,166,4
20861,57,2
20862,62,2
20863,52,2
20864,254,5
20865,182,4
20866,69,2
20867,70,3
20868,60,2
20869,69,2
20870,52,2
20871,46,2
20872,52,2
20873,48,2
20874,37,2
20875,164,4
20876,53,2
20877,36,2
20878,178,4
20879,38,2
20880,42,2
20881,61,2
20882,45,2
20883,52,2
20884,65,2
20885,49,2
20886,173,4
20887,55,2
20888,177,4
20889,46,2
20890,38,2
20891,33,2
20892,45,2
20893,53,2
20894,27,1
20895,55,2
20896,53,2
20897,65,2
20898,117,3
20899,51,2
20900,688,5
20901,47,2
20902,181,4
20903,248,5
20904,63,2
20905,61,2
20906,58,2
20907,157,4
20908,31,1
20909,162,4
20910,42,2
20911,27,1
20912,58,2
20913,167,4
20914,44,2
20915,64,2
20916,68,2
20917,60,2
20918,48,2
20919,43,2
20920,42,2
20921,51,2
20922,48,2
20923,180,4
20924,35,2
20925,45,2
20926,59,2
20927,167,4
20928,39,2
20929,67,2
20930,34,2
20931,170,4
20932,55,2
20933,67,2
20934,51,2
20935,50,2
20936,61,2
20937,49,2
20938,53,2
20939,65,2
20940,48,2
20941,1031,5
20942,125,3
20943,55,2
20944,1014,5
20945,159,4
20946,70,3
20947,31,1
20948,69,2
20949,66,2
20950,40,2
20951,37,2
20952,44,2
20953,54,2
20954,60,2
20955,168,4
20956,53,2
20957,67,2
20958,48,2
20959,888,5
20960,49,2
20961,49,2
20962,61,2
20963,37,2
20964,37,2
20965,46,2
20966,67,2
20967,173,4
20968,57,2
20969,50,2
20970,39,2
20971,65,2
20972,53,2
20973,1019,5
20974,44,2
20975,56,2
20976,74,3
20977,56,2
20978,40,2
20979,46,2
20980,61,2
20981,48,2
20982,35,2
20983,1030,5
20984,27,1
20985,49,2
20986,55,2
20987,166,4
20988,43,2
20989,55,2
20990,69,2
20991,48,2
20992,150,4
20993,169,4
20994,48,2
20995,817,5
20996,54,2
20997,49,2
20998,700,5
20999,51,2
21000,57,2
21001,172,4
21002,36,2
21003,41,2
21004,43,2
21005,33,2
21006,193,4
21007,706,5
21008,39,2
21009,42,2
21010,179,4
21011,177,4
21012,43,2
21013,38,2
21014,59,2
21015,51,2
21016,54,2
21017,178,4
21018,57,2
21019,36,2
21020,41,2
21021,156,4
21022,691,5
21023,47,2
21024,160,4
21025,56,2
21026,177,4
21027,270,5
21028,46,2
21029,45,2
21030,173,4
21031,63,2
21032,174,4
21033,29,1
21034,52,2
21035,62,2
21036,172,4
21037,67,2
21038,61,2
21039,41,2
21040,39,2
21041,824,5
21042,167,4
21043,47,2
21044,31,1
21045,32,1
21046,43,2
21047,69,2
21048,43,2
21049,716,5
21050,42,2
21051,162,4
21052,127,3
21053,171,4
21054,56,2
21055,248,5
21056,46,2
21057,47,2
21058,69,2
21059,27,1
21060,39,2
21061,42,2
21062,69,2
21063,45,2
21064,48,2
21065,33,2
21066,179,4
21067,47,2
21068,155,4
21069,49,2
21070,54,2
21071,64,2
21072,51,2
21073,54,2
21074,52,2
21075,47,2
21076,700,5
21077,36,2
21078,160,4
21079,151,4
21080,710,5
21081,43,2
21082,41,2
21083,163,4
21084,43,2
21085,68,2
21086,44,2
21087,40,2
21088,45,2
21089,32,1
21090,98,3
21091,47,2
21092,153,4
21093,38,2
21094,148,4
21095,63,2
21096,54,2
21097,64,2
21098,47,2
21099,50,2
21100,53,2
21101,59,2
21102,178,4
21103,70,3
21104,36,2
21105,162,4
21106,43,2
21107,51,2
21108,35,2
21109,55,2
21110,47,2
21111,48,2
21112,62,2
21113,47,2
21114,63,2
21115,170,4
21116,52,2
21117,163,4
21118,718,5
21119,67,2
21120,167,4
21121,29,1
21122,58,2
21123,42,2
21124,157,4
21125,35,2
21126,52,2
21127,41,2
21128,64,2
21129,153,4
21130,52,2
21131,162,4
21132,38,2
21133,167,4
21134,168,4
21135,49,2
21136,93,3
21137,169,4
21138,50,2
21139,74,3
21140,51,2
21141,35,2
21142,52,2
21143,248,5
21144,38,2
21145,61,2
21146,172,4
21147,69,2
21148,48,2
21149,53,2
21150,1036,5
21151,165,4
21152,831,5
21153,162,4
21154,43,2
21155,42,2
21156,41,2
21157,181,4
21158,63,2
21159,33,2
21160,71,3
21161,51,2
21162,44,2
21163,48,2
21164,1040,5
21165,60,2
21166,35,2
21167,28,1
21168,823,5
21169,59,2
21170,67,2
21171,1013,5
21172,65,2
21173,41,2
21174,50,2
21175,33,2
21176,164,4
21177,73,3
21178,56,2
21179,225,5
21180,68,2
21181,51,2
21182,42,2
21183,37,2
21184,42,2
21185,50,2
21186,70,3
21187,172,4
21188,42,2
21189,158,4
21190,172,4
21191,49,2
21192,46,2
21193,30,1
21194,58,2
21195,63,2
21196,54,2
21197,37,2
21198,63,2
21199,54,2
21200,71,3
21201,52,2
21202,57,2
21203,52,2
21204,49,2
21205,69,2
21206,41,2
21207,60,2
21208,54,2
21209,1023,5
21210,54,2
21211,47,2
21212,39,2
21213,46,2
21214,42,2
21215,53,2
21216,39,2
21217,43,2
21218,53,2
21219,187,4
21220,57,2
21221,45,2
21222,61,2
21223,45,2
21224,39,2
21225,49,2
21226,49,2
21227,56,2
21228,697,5
21229,66,2
21230,1033,5
21231,40,2
21232,15,1
21233,48,2
21234,37,2
21235,63,2
21236,41,2
21237,33,2
21238,158,4
21239,62,2
21240,66,2
21241,47,2
21242,48,2
21243,153,4
21244,42,2
21245,158,4
21246,41,2
21247,697,5
21248,58,2
21249,168,4
21250,22,1
21251,171,4
21252,31,1
21253,46,2
21254,45,2
21255,45,2
21256,189,4
21257,51,2
21258,68,2
21259,42,2
21260,184,4
21261,47,2
21262,59,2
21263,43,2
21264,1024,5
21265,64,2
21266,60,2
21267,48,2
21268,35,2
21269,61,2
21270,33,2
21271,38,2
21272,47,2
21273,31,1
21274,51,2
21275,145,3
21276,44,2
21277,47,2
21278,124,3
21279,56,2
21280,71,3
21281,60,2
21282,40,2
21283,23,1
21284,54,2
21285,56,2
21286,38,2
21287,41,2
21288,44,2
21289,51,2
21290,42,2
21291,49,2
21292,132,3
21293,41,2
21294,187,4
21295,42,2
21296,65,2
21297,64,2
21298,42,2
21299,177,4
21300,64,2
21301,171,4
21302,715,5
21303,61,2
21304,47,2
21305,137,3
21306,39,2
21307,61,2
21308,164,4
21309,174,4
21310,62,2
21311,18,1
21312,69,2
21313,51,2
21314,56,2
21315,66,2
21316,60,2
21317,50,2
21318,48,2
21319,51,2
21320,37,2
21321,61,2
21322,47,2
21323,33,2
21324,50,2
21325,365,5
21326,704,5
21327,176,4
21328,49,2
21329,174,4
21330,41,2
21331,51,2
21332,63,2
21333,33,2
21334,68,2
21335,43,2
21336,62,2
21337,32,1
21338,33,2
21339,129,3
21340,41,2
21341,164,4
21342,74,3
21343,163,4
21344,164,4
21345,701,5
21346,51,2
21347,40,2
21348,188,4
21349,40,2
21350,180,4
21351,58,2
21352,166,4
21353,61,2
21354,49,2
21355,51,2
21356,34,2
21357,54,2
21358,186,4
21359,52,2
21360,68,2
21361,48,2
21362,53,2
21363,178,4
21364,71,3
21365,49,2
21366,44,2
21367,52,2
21368,176,4
21369,287,5
21370,714,5
21371,58,2
21372,42,2
21373,90,3
21374,182,4
21375,50,2
21376,156,4
21377,43,2
21378,42,2
21379,31,1
21380,71,3
21381,176,4
21382,1018,5
21383,19,1
21384,53,2
21385,19,1
21386,709,5
21387,53,2
21388,50,2
21389,176,4
21390,45,2
21391,46,2
21392,44,2
21393,36,2
21394,48,2
21395,42,2
21396,50,2
21397,58,2
21398,164,4
21399,44,2
21400,49,2
21401,62,2
21402,165,4
21403,28,1
21404,174,4
21405,167,4
21406,46,2
21407,39,2
21408,36,2
21409,62,2
21410,54,2
21411,36,2
21412,61,2
21413,50,2
21414,49,2
21415,24,1
21416,66,2
21417,27,1
21418,63,2
21419,714,5
21420,48,2
21421,59,2
21422,50,2
21423,184,4
21424,184,4
21425,69,2
21426,62,2
21427,44,2
21428,41,2
21429,38,2
21430,62,2
21431,63,2
21432,42,2
21433,44,2
21434,32,1
21435,47,2
21436,181,4
21437,48,2
21438,65,2
21439,67,2
21440,707,5
21441,50,2
21442,122,3
21443,40,2
21444,37,2
21445,156,4
21446,1039,5
21447,121,3
21448,177,4
21449,38,2
21450,54,2
21451,179,4
21452,48,2
21453,41,2
21454,52,2
21455,1023,5
21456,1016,5
21457,32,1
21458,50,2
21459,59,2
21460,63,2
21461,42,2
21462,35,2
21463,51,2
21464,48,2
21465,47,2
21466,61,2
21467,258,5
21468,47,2
21469,42,2
21470,166,4
21471,39,2
21472,56,2
21473,44,2
21474,47,2
21475,50,2
21476,42,2
21477,36,2
21478,63,2
21479,45,2
21480,49,2
21481,71,3
21482,34,2
21483,199,5
21484,42,2
21485,48,2
21486,30,1
21487,58,2
21488,39,2
21489,62,2
21490,45,2
21491,183,4
21492,49,2
21493,40,2
21494,62,2
21495,51,2
21496,38,2
21497,1036,5
21498,50,2
21499,53,2
21500,185,4
21501,36,2
21502,61,2
21503,41,2
21504,32,1
21505,55,2
21506,46,2
21507,64,2
21508,36,2
21509,39,2
21510,51,2
21511,42,2
21512,33,2
21513,58,2
21514,43,2
21515,42,2
21516,55,2
21517,49,2
21518,45,2
21519,51,2
21520,41,2
21521,172,4
21522,43,2
21523,53,2
21524,71,3
21525,52,2
21526,41,2
21527,53,2
21528,66,2
21529,70,3
21530,63,2
21531,42,2
21532,824,5
21533,51,2
21534,65,2
21535,30,1
21536,54,2
21537,45,2
21538,43,2
21539,154,4
21540,66,2
21541,61,2
21542,1025,5
21543,181,4
21544,167,4
21545,179,4
21546,37,2
21547,51,2
21548,37,2
21549,59,2
21550,1023,5
21551,65,2
21552,62,2
21553,43,2
21554,49,2
21555,48,2
21556,60,2
21557,36,2
21558,37,2
21559,54,2
21560,46,2
21561,64,2
21562,64,2
21563,62,2
21564,42,2
21565,41,2
21566,53,2
21567,68,2
21568,45,2
21569,41,2
21570,49,2
21571,36,2
21572,44,2
21573,160,4
21574,43,2
21575,28,1
21576,49,2
21577,50,2
21578,38,2
21579,174,4
21580,28,1
21581,48,2
21582,36,2
21583,38,2
21584,170,4
21585,63,2
21586,41,2
21587,46,2
21588,183,4
21589,47,2
21590,39,2
21591,231,5
21592,39,2
21593,161,4
21594,45,2
21595,51,2
21596,33,2
21597,43,2
21598,35,2
21599,48,2
21600,67,2
21601,1028,5
21602,54,2
21603,65,2
21604,166,4
21605,41,2
21606,70,3
21607,1030,5
21608,172,4
21609,59,2
21610,41,2
21611,55,2
21612,699,5
21613,57,2
21614,60,2
21615,171,4
21616,59,2
21617,46,2
21618,59,2
21619,40,2
21620,172,4
21621,46,2
21622,57,2
21623,57,2
21624,163,4
21625,41,2
21626,61,2
21627,74,3
21628,54,2
21629,54,2
21630,304,5
21631,46,2
21632,33,2
21633,61,2
21634,55,2
21635,62,2
21636,61,2
21637,38,2
21638,48,2
21639,21,1
21640,35,2
21641,54,2
21642,31,1
21643,49,2
21644,37,2
21645,56,2
21646,1045,5
21647,164,4
21648,56,2
21649,256,5
21650,122,3
21651,61,2
21652,48,2
21653,121,3
21654,45,2
21655,177,4
21656,60,2
21657,54,2
21658,56,2
21659,55,2
21660,66,2
21661,68,2
21662,37,2
21663,156,4
21664,60,2
21665,51,2
21666,34,2
21667,45,2
21668,32,1
21669,61,2
21670,61,2
21671,46,2
21672,47,2
21673,185,4
21674,57,2
21675,122,3
21676,69,2
21677,65,2
21678,60,2
21679,36,2
21680,47,2
21681,1024,5
21682,43,2
21683,224,5
21684,166,4
21685,68,2
21686,64,2
21687,56,2
21688,52,2
21689,168,4
21690,50,2
21691,39,2
21692,41,2
21693,176,4
21694,47,2
21695,49,2
21696,65,2
21697,49,2
21698,34,2
21699,44,2
21700,58,2
21701,29,1
21702,161,4
21703,64,2
21704,50,2
21705,46,2
21706,151,4
21707,164,4
21708,179,4
21709,39,2
21710,41,2
21711,54,2
21712,46,2
21713,38,2
21714,56,2
21715,35,2
21716,1035,5
21717,46,2
21718,62,2
21719,54,2
21720,21,1
21721,74,3
21722,54,2
21723,35,2
21724,706,5
21725,139,3
21726,48,2
21727,59,2
21728,36,2
21729,247,5
21730,63,2
21731,47,2
21732,62,2
21733,55,2
21734,47,2
21735,176,4
21736,48,2
21737,63,2
21738,40,2
21739,48,2
21740,58,2
21741,56,2
21742,57,2
21743,48,2
21744,57,2
21745,57,2
21746,35,2
21747,58,2
21748,178,4
21749,38,2
21750,57,2
21751,1035,5
21752,49,2
21753,63,2
21754,40,2
21755,75,3
21756,57,2
21757,1049,5
21758,694,5
21759,64,2
21760,28,1
21761,32,1
21762,45,2
21763,37,2
21764,178,4
21765,42,2
21766,50,2
21767,49,2
21768,40,2
21769,68,2
21770,77,3
21771,811,5
21772,39,2
21773,165,4
21774,168,4
21775,245,5
21776,1031,5
21777,41,2
21778,71,3
21779,191,4
21780,48,2
21781,44,2
21782,814,5
21783,171,4
21784,54,2
21785,99,3
21786,63,2
21787,47,2
21788,45,2
21789,41,2
21790,51,2
21791,33,2
21792,27,1
21793,158,4
21794,42,2
21795,45,2
21796,40,2
21797,160,4
21798,65,2
21799,55,2
21800,71,3
21801,66,2
21802,173,4
21803,176,4
21804,1031,5
21805,65,2
21806,62,2
21807,229,5
21808,54,2
21809,65,2
21810,62,2
21811,62,2
21812,47,2
21813,60,2
21814,75,3
21815,58,2
21816,42,2
21817,47,2
21818,186,4
21819,65,2
21820,1025,5
21821,60,2
21822,41,2
21823,58,2
21824,47,2
21825,50,2
21826,41,2
21827,53,2
21828,236,5
21829,63,2
21830,25,1
21831,46,2
21832,53,2
21833,47,2
21834,281,5
21835,172,4
21836,47,2
21837,62,2
21838,52,2
21839,40,2
21840,30,1
21841,697,5
21842,28,1
21843,46,2
21844,60,2
21845,63,2
21846,63,2
21847,44,2
21848,252,5
21849,58,2
21850,51,2
21851,154,4
21852,173,4
21853,50,2
21854,54,2
21855,62,2
21856,42,2
21857,38,2
21858,49,2
21859,62,2
21860,166,4
21861,181,4
21862,44,2
21863,54,2
21864,43,2
21865,50,2
21866,168,4
21867,1018,5
21868,162,4
21869,33,2
21870,48,2
21871,157,4
21872,1033,5
21873,45,2
21874,57,2
21875,58,2
21876,35,2
21877,44,2
21878,50,2
21879,28,1
21880,59,2
21881,169,4
21882,43,2
21883,38,2
21884,61,2
21885,51,2
21886,168,4
21887,45,2
21888,57,2
21889,40,2
21890,48,2
21891,54,2
21892,37,2
21893,149,4
21894,47,2
21895,65,2
21896,53,2
21897,62,2
21898,1024,5
21899,35,2
21900,46,2
21901,65,2
21902,48,2
21903,48,2
21904,1102,5
21905,48,2
21906,1036,5
21907,39,2
21908,45,2
21909,35,2
21910,831,5
21911,41,2
21912,29,1
21913,50,2
21914,47,2
21915,54,2
21916,38,2
21917,54,2
21918,68,2
21919,179,4
21920,56,2
21921,68,2
21922,1022,5
21923,68,2
21924,156,4
21925,35,2
21926,51,2
21927,44,2
21928,43,2
21929,257,5
21930,39,2
21931,45,2
21932,66,2
21933,34,2
21934,41,2
21935,44,2
21936,1033,5
21937,65,2
21938,43,2
21939,46,2
21940,65,2
21941,69,2
21942,164,4
21943,171,4
21944,56,2
21945,60,2
21946,40,2
21947,62,2
21948,62,2
21949,41,2
21950,61,2
21951,174,4
21952,67,2
21953,59,2
21954,55,2
21955,53,2
21956,57,2
21957,170,4
21958,57,2
21959,59,2
21960,37,2
21961,50,2
21962,40,2
21963,171,4
21964,52,2
21965,63,2
21966,171,4
21967,49,2
21968,59,2
21969,54,2
21970,48,2
21971,68,2
21972,51,2
21973,1014,5
21974,53,2
21975,163,4
21976,164,4
21977,1045,5
21978,47,2
21979,68,2
21980,41,2
21981,63,2
21982,52,2
21983,28,1
21984,52,2
21985,184,4
21986,52,2
21987,52,2
21988,192,4
